doc_id,title_text,tagline,post_tag,post_date,topic,topic_label,umap_sem_x,umap_sem_y,umap_tem_x,umap_tem_y
0,La China invisible,Feria La Salada,,2012-05-14 13:43:22,1,1_feminismo_feminista_patriarcado,8.872499,6.4425864,9.242599,-3.3652408
1,El rico que se cree Steve Jobs,Gustavo Grobocopatel,Perfil político,2012-05-24 13:36:12,15,15_sindicalismo_reforma_político,9.927259,2.5370178,7.019087,1.5576261
2,La vaca sagrada,,,2012-06-05 14:52:58,37,37_astrónomo_ciencia_universo,9.757288,4.3520083,7.542215,-2.1484888
3,Los arruinados del Paraná,Adictos al juego,,2012-06-14 10:16:11,20,20_ríos_río_arroyo,9.2952385,6.294294,6.8144603,-1.5619903
4,De Chile a Tacna: una historia de carniceros y cirujanos,,,2012-06-25 14:52:05,39,39_morir_muerte_moribundo,8.897676,3.116982,9.189202,-1.2573466
5,Bolivia en llamas,,,2012-06-28 14:19:51,10,10_boliviano_bolivia_político,11.009377,4.3983455,6.886622,4.4961987
6,Los líderes de la primavera mexicana (I),,,2012-07-06 13:27:04,5,5_pedagógico_enseñanza_escolar,11.018834,4.464336,4.1274137,-2.5460994
7,Nunca te metas con las mariscadoras de Vigo,,,2012-07-16 17:08:34,33,33_submarino_marino_naufragio,8.792879,6.3193836,3.924575,0.24837925
8,"Lucía, la remadora olímpica de las manos imposibles",,,2012-07-23 17:32:48,20,20_ríos_río_arroyo,10.480628,2.5553641,4.8538094,-1.1112695
9,El fisicoculturista que no puede mirarse en el espejo,,,2012-07-30 15:38:38,11,11_asesino_testimonio_testigo,10.156985,2.279913,7.0333443,-1.7835788
10,Lo revolucionario de la naturaleza,Héctor Tizón,,2012-08-07 10:53:30,3,3_literario_escritora_autor,8.322294,2.1869574,6.501261,-4.7745705
11,I love Pablo Escobar,,,2012-08-09 11:32:24,42,42_padre_papá_hijo,9.218335,2.9253654,7.408202,-2.2265449
12,Uruguay: lapidados por la TV,,,2012-08-29 11:33:57,11,11_asesino_testimonio_testigo,9.234425,3.6538315,7.5513434,-2.0182571
13,La derecha respira,Espiritualidades,,2012-09-11 09:01:39,24,24_arte_artes_art,9.669189,2.5021684,12.87569,-2.075366
14,Cacerolas: rebelión y felicidad,,,2012-09-18 13:18:52,40,40_manifestación_feminista_multitud,10.105709,3.556038,9.048478,4.799234
15,El debut político de los nativos digitales,Escuelas tomadas,,2012-09-28 13:35:50,5,5_pedagógico_enseñanza_escolar,6.004371,5.8170643,3.6952448,-3.230668
16,La reforma agraria de las mujeres guaraníes,,,2012-10-01 17:32:04,20,20_ríos_río_arroyo,8.840531,6.442866,5.2809987,-1.2879962
