ID,post_year,categoria_normalizada,post_tag,tag
15706,2012,Política y Economía,Perfil político,Perfil Político
3493,2012,Políticas de géneros,Memoria trans,Memoria Trans
2745,2012,Política y Economía,Internacional; Israel; Palestina,Internacional
2745,2012,Política y Economía,Internacional; Israel; Palestina,Israel
2745,2012,Política y Economía,Internacional; Israel; Palestina,Palestina
15634,2013,Culturas,Internacional; Venezuela,Internacional
15634,2013,Culturas,Internacional; Venezuela,Venezuela
2819,2013,Culturas,Barras bravas; Boca Juniors; Fútbol,Barras Bravas
2819,2013,Culturas,Barras bravas; Boca Juniors; Fútbol,Boca Juniors
2819,2013,Culturas,Barras bravas; Boca Juniors; Fútbol,Fútbol
2570,2013,Política y Economía,Violencia policial,Violencia Policial
1500,2013,Políticas de géneros,BA,Ba
1716,2014,Política y Economía,24M: Día de la memoria por la verdad y la justicia; Derechos Humanos; Juicios de lesa humanidad; Terrorismo de Estado,24M: Día De La Memoria Por La Verdad Y La Justicia
1716,2014,Política y Economía,24M: Día de la memoria por la verdad y la justicia; Derechos Humanos; Juicios de lesa humanidad; Terrorismo de Estado,Derechos Humanos
1716,2014,Política y Economía,24M: Día de la memoria por la verdad y la justicia; Derechos Humanos; Juicios de lesa humanidad; Terrorismo de Estado,Juicios De Lesa Humanidad
1716,2014,Política y Economía,24M: Día de la memoria por la verdad y la justicia; Derechos Humanos; Juicios de lesa humanidad; Terrorismo de Estado,Terrorismo De Estado
231,2014,Política y Economía,Rossana Reguillo,Rossana Reguillo
244,2014,Política y Economía,Internacional; Rusia,Internacional
244,2014,Política y Economía,Internacional; Rusia,Rusia
255,2014,Política y Economía,24M: Día de la memoria por la verdad y la justicia; Derechos Humanos; Hijos de represores,24M: Día De La Memoria Por La Verdad Y La Justicia
255,2014,Política y Economía,24M: Día de la memoria por la verdad y la justicia; Derechos Humanos; Hijos de represores,Derechos Humanos
255,2014,Política y Economía,24M: Día de la memoria por la verdad y la justicia; Derechos Humanos; Hijos de represores,Hijos De Represores
358,2014,Culturas,Feria del Libro,Feria Del Libro
442,2014,Culturas,Encuentro Anfibio; Feria del Libro,Encuentro Anfibio
442,2014,Culturas,Encuentro Anfibio; Feria del Libro,Feria Del Libro
453,2014,Culturas,Encuentro Anfibio; Feria del Libro,Encuentro Anfibio
453,2014,Culturas,Encuentro Anfibio; Feria del Libro,Feria Del Libro
489,2014,Culturas,Feria del Libro,Feria Del Libro
504,2014,Culturas,Encuentro Anfibio; Feria del Libro; Juan Pablo Meneses,Encuentro Anfibio
504,2014,Culturas,Encuentro Anfibio; Feria del Libro; Juan Pablo Meneses,Feria Del Libro
504,2014,Culturas,Encuentro Anfibio; Feria del Libro; Juan Pablo Meneses,Juan Pablo Meneses
512,2014,Otras,Feria del Libro,Feria Del Libro
500,2014,Política y Economía,Derechos Humanos,Derechos Humanos
539,2014,Culturas,Feria del Libro; Nueva Anfibia,Feria Del Libro
539,2014,Culturas,Feria del Libro; Nueva Anfibia,Nueva Anfibia
607,2014,Culturas,Feria del Libro,Feria Del Libro
686,2014,Culturas,Jorge Volpi; Lectura Mundi,Jorge Volpi
686,2014,Culturas,Jorge Volpi; Lectura Mundi,Lectura Mundi
702,2014,Culturas,Lectura Mundi,Lectura Mundi
725,2014,Otras,Jorge Volpi; Lectura Mundi,Jorge Volpi
725,2014,Otras,Jorge Volpi; Lectura Mundi,Lectura Mundi
1685,2014,Política y Economía,FMI; Fondos buitre,Fmi
1685,2014,Política y Economía,FMI; Fondos buitre,Fondos Buitre
25454,2014,Culturas,Día del Padre,Día Del Padre
1747,2014,Culturas,Alejandro Sabella; Brasil; Internacional; Mundial de fútbol,Alejandro Sabella
1747,2014,Culturas,Alejandro Sabella; Brasil; Internacional; Mundial de fútbol,Brasil
1747,2014,Culturas,Alejandro Sabella; Brasil; Internacional; Mundial de fútbol,Internacional
1747,2014,Culturas,Alejandro Sabella; Brasil; Internacional; Mundial de fútbol,Mundial De Fútbol
2095,2014,Culturas,Brasil; Dilma Rousseff; Internacional; Mundial de fútbol,Brasil
2095,2014,Culturas,Brasil; Dilma Rousseff; Internacional; Mundial de fútbol,Dilma Rousseff
2095,2014,Culturas,Brasil; Dilma Rousseff; Internacional; Mundial de fútbol,Internacional
2095,2014,Culturas,Brasil; Dilma Rousseff; Internacional; Mundial de fútbol,Mundial De Fútbol
2238,2014,Culturas,Brasil; Fútbol; Internacional; Mundial de fútbol,Brasil
2238,2014,Culturas,Brasil; Fútbol; Internacional; Mundial de fútbol,Fútbol
2238,2014,Culturas,Brasil; Fútbol; Internacional; Mundial de fútbol,Internacional
2238,2014,Culturas,Brasil; Fútbol; Internacional; Mundial de fútbol,Mundial De Fútbol
2353,2014,Culturas,Alejandro Sabella; Brasil; Internacional; Mundial de fútbol,Alejandro Sabella
2353,2014,Culturas,Alejandro Sabella; Brasil; Internacional; Mundial de fútbol,Brasil
2353,2014,Culturas,Alejandro Sabella; Brasil; Internacional; Mundial de fútbol,Internacional
2353,2014,Culturas,Alejandro Sabella; Brasil; Internacional; Mundial de fútbol,Mundial De Fútbol
2485,2014,Culturas,Brasil; Fútbol; Internacional; Mundial de fútbol,Brasil
2485,2014,Culturas,Brasil; Fútbol; Internacional; Mundial de fútbol,Fútbol
2485,2014,Culturas,Brasil; Fútbol; Internacional; Mundial de fútbol,Internacional
2485,2014,Culturas,Brasil; Fútbol; Internacional; Mundial de fútbol,Mundial De Fútbol
2497,2014,Culturas,Brasil; Internacional; Mundial de fútbol,Brasil
2497,2014,Culturas,Brasil; Internacional; Mundial de fútbol,Internacional
2497,2014,Culturas,Brasil; Internacional; Mundial de fútbol,Mundial De Fútbol
2878,2014,Salud,VIH,Vih
3081,2014,Política y Economía,24M: Día de la memoria por la verdad y la justicia; Derechos Humanos; Nietos,24M: Día De La Memoria Por La Verdad Y La Justicia
3081,2014,Política y Economía,24M: Día de la memoria por la verdad y la justicia; Derechos Humanos; Nietos,Derechos Humanos
3081,2014,Política y Economía,24M: Día de la memoria por la verdad y la justicia; Derechos Humanos; Nietos,Nietos
3155,2014,Política y Economía,24M: Día de la memoria por la verdad y la justicia; Derechos Humanos; Nietos,24M: Día De La Memoria Por La Verdad Y La Justicia
3155,2014,Política y Economía,24M: Día de la memoria por la verdad y la justicia; Derechos Humanos; Nietos,Derechos Humanos
3155,2014,Política y Economía,24M: Día de la memoria por la verdad y la justicia; Derechos Humanos; Nietos,Nietos
3323,2014,Política y Economía,Internacional; Israel; Palestina,Internacional
3323,2014,Política y Economía,Internacional; Israel; Palestina,Israel
3323,2014,Política y Economía,Internacional; Israel; Palestina,Palestina
2529,2014,Política y Economía,Trabajo,Trabajo
3411,2014,Culturas,Internacional; Israel; Palestina,Internacional
3411,2014,Culturas,Internacional; Israel; Palestina,Israel
3411,2014,Culturas,Internacional; Israel; Palestina,Palestina
3482,2014,Políticas de géneros,#NiUnaMenos; Día internacional de la eliminación de la violencia contra las mujeres,#Niunamenos
3482,2014,Políticas de géneros,#NiUnaMenos; Día internacional de la eliminación de la violencia contra las mujeres,Día Internacional De La Eliminación De La Violencia Contra Las Mujeres
3702,2014,Otras,Comunidad Anfibia; La Casona Iluminada; Teatro Bombón,Comunidad Anfibia
3702,2014,Otras,Comunidad Anfibia; La Casona Iluminada; Teatro Bombón,La Casona Iluminada
3702,2014,Otras,Comunidad Anfibia; La Casona Iluminada; Teatro Bombón,Teatro Bombón
12480,2014,Políticas de géneros,#NiUnaMenos,#Niunamenos
14363,2014,Política y Economía,Nancy Fraser,Nancy Fraser
14485,2014,Culturas,Paco Ignacio Taibo II,Paco Ignacio Taibo Ii
14511,2014,Política y Economía,Brasil; Internacional,Brasil
14511,2014,Política y Economía,Brasil; Internacional,Internacional
14546,2014,Culturas,Kartun; Teatro del Pueblo; Terrenal,Kartun
14546,2014,Culturas,Kartun; Teatro del Pueblo; Terrenal,Teatro Del Pueblo
14546,2014,Culturas,Kartun; Teatro del Pueblo; Terrenal,Terrenal
14670,2014,Culturas,Paco Ignacio Taibo II; Rodolfo Walsh,Paco Ignacio Taibo Ii
14670,2014,Culturas,Paco Ignacio Taibo II; Rodolfo Walsh,Rodolfo Walsh
14576,2014,Educación,Paco Ignacio Taibo II,Paco Ignacio Taibo Ii
14759,2014,Políticas de géneros,Rossana Reguillo,Rossana Reguillo
14770,2014,Culturas,Periodismo narrativo,Periodismo Narrativo
14806,2014,Otras,Brasil; Dilma Rousseff; Elecciones; Internacional,Brasil
14806,2014,Otras,Brasil; Dilma Rousseff; Elecciones; Internacional,Dilma Rousseff
14806,2014,Otras,Brasil; Dilma Rousseff; Elecciones; Internacional,Elecciones
14806,2014,Otras,Brasil; Dilma Rousseff; Elecciones; Internacional,Internacional
14806,2014,Política y Economía,Brasil; Dilma Rousseff; Elecciones; Internacional,Brasil
14806,2014,Política y Economía,Brasil; Dilma Rousseff; Elecciones; Internacional,Dilma Rousseff
14806,2014,Política y Economía,Brasil; Dilma Rousseff; Elecciones; Internacional,Elecciones
14806,2014,Política y Economía,Brasil; Dilma Rousseff; Elecciones; Internacional,Internacional
15000,2014,Culturas,Internacional; Israel; Palestina,Internacional
15000,2014,Culturas,Internacional; Israel; Palestina,Israel
15000,2014,Culturas,Internacional; Israel; Palestina,Palestina
15230,2014,Política y Economía,Papa Francisco,Papa Francisco
15245,2014,Políticas de géneros,Rossana Reguillo,Rossana Reguillo
15330,2014,Culturas,BA,Ba
15352,2014,Política y Economía,Papa Francisco; Rossana Reguillo,Papa Francisco
