Tag A,Tag B,Similitud_Coseno_Prob_Topicos
Messi,Scaloneta,0.999
Iran,Irán,0.998
Messi,Qatar 2022,0.997
Qatar 2022,Scaloneta,0.997
Israel,Palestina,0.996
Iglesia Católica,Papa Francisco,0.996
Javier Milei,Sin Control 2,0.995
Cop26,Crisis Climática,0.995
Irán,Medio Oriente,0.995
Jair Bolsonaro,Lula Da Silva,0.994
Iran,Medio Oriente,0.994
Alemania,Angela Merkel,0.994
Rusia,Ucrania,0.993
Alejandro Sabella,Scaloneta,0.993
Elecciones 2023,Sergio Massa,0.993
Catolicismo,Religion,0.992
Papa Francisco,Papa León Xiv,0.992
Dilma Rousseff,Lula Da Silva,0.992
Dilma Rousseff,Jair Bolsonaro,0.991
Di María,Messi,0.991
Alejandro Sabella,Messi,0.991
Qatar 2022,Selección Argentina,0.991
Iglesia Católica,Papa León Xiv,0.991
Messi,Selección Argentina,0.991
Alejandro Sabella,Qatar 2022,0.991
Lgbtiq+,Orgullo,0.99
8M,8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,0.99
Alberto Fernández,Frente De Todos,0.99
Francia Márquez,Gustavo Petro,0.99
Di María,Scaloneta,0.99
Scaloneta,Selección Argentina,0.989
Israel,Medio Oriente,0.988
Música,Rock Nacional,0.988
Arte Digital,Arteba,0.988
Fútbol,Mundial De Fútbol,0.988
Ca7Triel Y Paco,Pop,0.987
Javier Milei,Un Año De Milei,0.987
Javier Milei,La Libertad Avanza,0.987
Javier Milei,O Sea Digamos,0.987
Marcha Universitaria,Universidad Pública,0.987
Reforma Laboral,Trabajo,0.987
O Sea Digamos,Sin Control 2,0.987
Catolicismo,Papa Francisco,0.987
Papa Francisco,Religion,0.986
Putin,Rusia,0.986
Fútbol,Qatar 2022,0.986
Di María,Qatar 2022,0.986
Federalismo,Provincias,0.986
Di María,Selección Argentina,0.985
Brasil,Dilma Rousseff,0.985
Congreso,Sin Control 2,0.985
Derechas,Liberalismo,0.985
Charly García,Luis Alberto Spinetta,0.985
Martín Guzmán,Silvina Batakis,0.984
Brasil,Jair Bolsonaro,0.984
Calentamiento Global,Carbono,0.984
Música,Pop,0.984
Clases Medias,Ilustraciones,0.984
Congreso,Javier Milei,0.984
Brasil,Lula Da Silva,0.984
Causa Andis,Llaryora,0.983
Artesdigitales,Mujeres Y Disidencias,0.983
Mundial De Fútbol,Qatar 2022,0.983
Mujeres Y Disidencias,Mutek,0.983
Irán,Israel,0.983
Financiamiento Narco,Pacto De Mayo,0.983
Escuelas,Soledad Acuña,0.983
#Niunamenos,Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,0.983
El Último Rincón De Sudamérica,Guayana Francesa,0.983
Financiamiento Narco,Llaryora,0.983
Artesdigitales,Britishcouncil,0.983
