Topic,Name,Docs,% Corpus,Coherencia_NPMI,Articulos_Representativos,Tagline_Representativo,URL_Articulo
0,"político, política, electoral, candidato",472,13.27,0.2639,El desafío de gobernar una sociedad rota,El regreso del peronismo,https://www.revistaanfibia.com/el-desafio-de-gobernar-una-sociedad-rota/
3,"literario, escritora, autor, literatura",240,6.75,0.3031,Todos anfibios,Al rescate,https://www.revistaanfibia.com/todos-anfibios/
1,"feminismo, feminista, patriarcado, masculinidad",217,6.1,0.2869,"Ni machos, ni fachos",Una agenda feminista para la Justicia,https://www.revistaanfibia.com/ni-machos-ni-fachos/
6,"asesinato, policía, policial, maldonado",200,5.62,0.2183,El fusilador oculto de Operación Masacre,70 años de los fusilamientos de José León Suárez,https://www.revistaanfibia.com/operacion-masacre-fusilamientos-jose-leon-suarez-desiderio-fernandez-suarez-el-fusilador-oculto/
2,"fifa, futbolista, fútbol, deporte",153,4.3,0.3681,Polaroids de locura ordinaria,Bilardo después de Bilardo,https://www.revistaanfibia.com/polaroids-de-locura-ordinaria/
4,"déficit, deuda, endeudamiento, inflación",152,4.27,0.3114,"Regalos para los grandes, crisis para el resto",Dictamen favorable para la Ley Bases,https://www.revistaanfibia.com/rigi-ley-bases-regalos-para-los-grandes-crisis-para-el-resto/
5,"pedagógico, enseñanza, escolar, educativo",132,3.71,0.2686,La autoridad pedagógica en jaque,Soledad Acuña contra la escuela pública,https://www.revistaanfibia.com/la-autoridad-pedagogica-jaque/
11,"asesino, testimonio, testigo, víctima",96,2.7,0.2465,Aparecidos,El nieto 114,https://www.revistaanfibia.com/aparecidos/
14,"mediático, periodístico, político, periodista",95,2.67,0.1176,Investigar y documentar para que no se repita,Colombia: Informe Final de la Comisión de la Verdad,https://www.revistaanfibia.com/investigar-y-documentar-para-que-no-se-repita/
7,"aborto, abortar, anticonceptivo, embarazo",91,2.56,0.2436,No es obligatorio abortar,La diputada de Cambiemos que apoya la ley,https://www.revistaanfibia.com/no-es-obligatorio-abortar/
8,"epidemia, vacunar, virus, vacuna",86,2.42,0.4062,Sabía que ibas a reaccionar así,Cómo nos comportamos ante la flexibilización,https://www.revistaanfibia.com/sabia-ibas-reaccionar-asi/
30,"sociedad, comunitario, proyecto, comunidad",85,2.39,0.09,"Malvinas, nuestro cubo Rubik","Las islas, narrativas y cultura política",https://www.revistaanfibia.com/malvinas-nuestro-cubo-rubik/
10,"boliviano, bolivia, político, política",84,2.36,0.1782,Una apuesta por vivir bonito,Elecciones presidenciales en Colombia,https://www.revistaanfibia.com/elecciones-en-colombia-petro-una-apuesta-por-vivir-bonito/
