Topic,Words,Frequency,Timestamp,Name
2,"entrenador, hombre, carlos, atleta, luis",3,2012-05-08 20:29:45.600,2_fifa_futbolista_fútbol_deporte
3,"autor, narrador, escritor, libro, novela",1,2012-05-08 20:29:45.600,3_literario_escritora_autor_literatura
8,"vaca, animal, bovino, especie, alfalfa",1,2012-05-08 20:29:45.600,8_epidemia_vacunar_virus_vacuna
10,"boliviano, bolivia, colombia, venezuela, líder",2,2012-05-08 20:29:45.600,10_boliviano_bolivia_político_política
11,"morir, montevideo, velázquez, natalia, beba",1,2012-05-08 20:29:45.600,11_asesino_testimonio_testigo_víctima
13,"catolicismo, sacerdote, católico, religión, religioso",1,2012-05-08 20:29:45.600,13_papal_catolicismo_arzobispo_católica
20,"chileno, chile, peruano, perú, santiago",1,2012-05-08 20:29:45.600,20_ríos_río_arroyo_agua
33,"pescador, mafia, barco, marino, marinero",1,2012-05-08 20:29:45.600,33_submarino_marino_naufragio_océano
34,"colombiano, colombia, bolivariana, roberto, hombre",1,2012-05-08 20:29:45.600,34_película_personaje_actor_hombre
40,"rebelión, manifestación, fanático, marcha, fiesta",1,2012-05-08 20:29:45.600,40_manifestación_feminista_multitud_mili...
41,"china, ganancia, tragamonedas, casino, ciudad",2,2012-05-08 20:29:45.600,41_pobreza_inmobiliario_habitante_pobre
0,"electoral, candidato, votar, político, voto",1,2012-09-19 15:36:00.000,0_político_política_electoral_candidato
1,"queer, gay, fetichismo, sexualidad, muñequera",2,2012-09-19 15:36:00.000,1_feminismo_feminista_patriarcado_mascul...
2,"padre, entrenador, futbolista, político, lorenzo",2,2012-09-19 15:36:00.000,2_fifa_futbolista_fútbol_deporte
3,"escritora, literario, escritor, autor, escrito",2,2012-09-19 15:36:00.000,3_literario_escritora_autor_literatura
5,"político, escolar, colegio, escuela, educativo",1,2012-09-19 15:36:00.000,5_pedagógico_enseñanza_escolar_educativo
6,"morir, muerte, matar, muerto, víctima",2,2012-09-19 15:36:00.000,6_asesinato_policía_policial_maldonado
8,"pesticida, humo, pandemia, tóxico, peligroso",1,2012-09-19 15:36:00.000,8_epidemia_vacunar_virus_vacuna
19,"protestar, periodista, corresponsal, criticar, crítica",1,2012-09-19 15:36:00.000,19_periodista_periodístico_periódico_nar...
20,"guaraní, guaraníes, esclavo, bolivia, chuquisaca",1,2012-09-19 15:36:00.000,20_ríos_río_arroyo_agua
27,"israel, israelí, palestina, palestino, jerusalén",1,2012-09-19 15:36:00.000,27_israel_netanyahu_israelí_palestina
1,"feminidad, feminista, feminismo, belleza, mujer",1,2013-01-26 07:12:00.000,1_feminismo_feminista_patriarcado_mascul...
2,"pedro, vaccaro, uruguayo, hombre, barrabrava",2,2013-01-26 07:12:00.000,2_fifa_futbolista_fútbol_deporte
6,"chileno, muerte, muerto, morir, antiterrorista",2,2013-01-26 07:12:00.000,6_asesinato_policía_policial_maldonado
10,"venezolano, venezuela, colombiano, colombia, hugo",1,2013-01-26 07:12:00.000,10_boliviano_bolivia_político_política
11,"tortura, prisionero, detenido, abuela, hermano",1,2013-01-26 07:12:00.000,11_asesino_testimonio_testigo_víctima
32,"muerto, morir, muerte, perro, suicidio",2,2013-01-26 07:12:00.000,32_catástrofe_desastre_tragedia_terremot...
33,"maratón, acuático, nadador, natación, sprint",1,2013-01-26 07:12:00.000,33_submarino_marino_naufragio_océano
34,"filipinas, manila, viaje, viajar, recorrer",1,2013-01-26 07:12:00.000,34_película_personaje_actor_hombre
40,"guacho, negro, hétero, gonzalo, moreno",1,2013-01-26 07:12:00.000,40_manifestación_feminista_multitud_mili...
42,"melodía, coro, musical, pianista, cantante",1,2013-01-26 07:12:00.000,42_padre_papá_hijo_abuelo
2,"campeón, torneo, partido, futbolista, líder",1,2013-06-03 22:48:00.000,2_fifa_futbolista_fútbol_deporte
5,"hijo, niño, padre, pedagógico, docente",1,2013-06-03 22:48:00.000,5_pedagógico_enseñanza_escolar_educativo
6,"guarnición, entrenador, pilcomayo, líder, militar",2,2013-06-03 22:48:00.000,6_asesinato_policía_policial_maldonado
8,"perro, canín, labrador, animal, morir",1,2013-06-03 22:48:00.000,8_epidemia_vacunar_virus_vacuna
11,"homicidio, robar, víctima, comisaría, delito",3,2013-06-03 22:48:00.000,11_asesino_testimonio_testigo_víctima
17,"mouse, mickey, billete, todd, camuflado",1,2013-06-03 22:48:00.000,17_innovación_tecnológico_tecno_tecnolog...
19,"periodista, periodístico, televisión, hardcore, confitería",1,2013-06-03 22:48:00.000,19_periodista_periodístico_periódico_nar...
24,"artista, mondongo, benzacar, creador, artístico",1,2013-06-03 22:48:00.000,24_arte_artes_art_estética
32,"chile, minero, chuquicamata, gonzalo, carabinero",1,2013-06-03 22:48:00.000,32_catástrofe_desastre_tragedia_terremot...
37,"científico, astrología, episódico, fantasía, investigador",2,2013-06-03 22:48:00.000,37_astrónomo_ciencia_universo_teoría
39,"fallecimiento, fallecido, muerte, morir, facebook",1,2013-06-03 22:48:00.000,39_morir_muerte_moribundo_cadáver
40,"arma, pistola, armas, armado, revólver",1,2013-06-03 22:48:00.000,40_manifestación_feminista_multitud_mili...
2,"futbolista, fútbol, confianza, uruguayo, uruguay",1,2013-10-10 14:24:00.000,2_fifa_futbolista_fútbol_deporte
3,"literario, escritora, escritor, autor, literatura",4,2013-10-10 14:24:00.000,3_literario_escritora_autor_literatura
