category,period,documents,tokens_after_stopwords,unique_terms_after_stopwords,docs_ok,tokens_ok,unique_terms_ok,enough_statistics,path
Ambiente,2012,1,914,633,False,False,True,False,
Ambiente,2013,1,1417,927,False,False,True,False,
Ambiente,2014,1,1302,793,False,False,True,False,
Ambiente,2015,7,6032,3112,False,True,True,False,
Ambiente,2016,2,2080,1196,False,False,True,False,
Ambiente,2017,3,2164,1369,False,False,True,False,
Ambiente,2018,5,5286,2684,False,True,True,False,
Ambiente,2019,5,5523,2764,False,True,True,False,
Ambiente,2020,23,21082,6624,True,True,True,True,data\processed\topic_modeling_lematizado\wordclouds_by_category_period\wordcloud_ambiente_2020.png
Ambiente,2021,22,20996,6622,True,True,True,True,data\processed\topic_modeling_lematizado\wordclouds_by_category_period\wordcloud_ambiente_2021.png
Ambiente,2022,10,11154,3963,False,True,True,False,
Ambiente,2023,9,9250,4080,False,True,True,False,
Ambiente,2024,9,9810,4221,False,True,True,False,
Ambiente,2025,11,12644,4928,False,True,True,False,
Ambiente,2026,4,4598,2181,False,False,True,False,
Amor y sexo,2012,1,1019,615,False,False,True,False,
Amor y sexo,2013,2,3288,1727,False,False,True,False,
Amor y sexo,2014,1,1483,897,False,False,True,False,
Amor y sexo,2015,7,7678,3816,False,True,True,False,
Amor y sexo,2016,1,1236,853,False,False,True,False,
Amor y sexo,2017,4,3344,2071,False,False,True,False,
Amor y sexo,2018,7,4795,2788,False,False,True,False,
Amor y sexo,2019,8,8710,4086,False,True,True,False,
Amor y sexo,2020,6,3942,2354,False,False,True,False,
Amor y sexo,2021,9,6660,3370,False,True,True,False,
Amor y sexo,2022,4,4172,2280,False,False,True,False,
Amor y sexo,2023,2,2103,1322,False,False,True,False,
Amor y sexo,2024,4,4673,2589,False,False,True,False,
Amor y sexo,2025,1,770,557,False,False,True,False,
Amor y sexo,2026,2,2372,1279,False,False,True,False,
Culturas,2012,9,9644,4148,False,True,True,False,
Culturas,2013,23,29826,9075,True,True,True,True,data\processed\topic_modeling_lematizado\wordclouds_by_category_period\wordcloud_culturas_2013.png
Culturas,2014,128,94916,18751,True,True,True,True,data\processed\topic_modeling_lematizado\wordclouds_by_category_period\wordcloud_culturas_2014.png
Culturas,2015,97,86336,17979,True,True,True,True,data\processed\topic_modeling_lematizado\wordclouds_by_category_period\wordcloud_culturas_2015.png
Culturas,2016,132,153927,24971,True,True,True,True,data\processed\topic_modeling_lematizado\wordclouds_by_category_period\wordcloud_culturas_2016.png
Culturas,2017,89,87035,17612,True,True,True,True,data\processed\topic_modeling_lematizado\wordclouds_by_category_period\wordcloud_culturas_2017.png
Culturas,2018,102,91549,18370,True,True,True,True,data\processed\topic_modeling_lematizado\wordclouds_by_category_period\wordcloud_culturas_2018.png
Culturas,2019,48,47173,13515,True,True,True,True,data\processed\topic_modeling_lematizado\wordclouds_by_category_period\wordcloud_culturas_2019.png
Culturas,2020,39,34705,10422,True,True,True,True,data\processed\topic_modeling_lematizado\wordclouds_by_category_period\wordcloud_culturas_2020.png
Culturas,2021,68,56341,13849,True,True,True,True,data\processed\topic_modeling_lematizado\wordclouds_by_category_period\wordcloud_culturas_2021.png
Culturas,2022,71,55681,13789,True,True,True,True,data\processed\topic_modeling_lematizado\wordclouds_by_category_period\wordcloud_culturas_2022.png
Culturas,2023,85,79316,17203,True,True,True,True,data\processed\topic_modeling_lematizado\wordclouds_by_category_period\wordcloud_culturas_2023.png
Culturas,2024,76,72131,15883,True,True,True,True,data\processed\topic_modeling_lematizado\wordclouds_by_category_period\wordcloud_culturas_2024.png
Culturas,2025,45,48267,12256,True,True,True,True,data\processed\topic_modeling_lematizado\wordclouds_by_category_period\wordcloud_culturas_2025.png
Culturas,2026,26,26316,8334,True,True,True,True,data\processed\topic_modeling_lematizado\wordclouds_by_category_period\wordcloud_culturas_2026.png
Educación,2013,1,1134,691,False,False,True,False,
Educación,2014,3,2341,1262,False,False,True,False,
Educación,2015,5,5046,2582,False,True,True,False,
Educación,2016,8,9347,4039,False,True,True,False,
Educación,2017,9,7373,3272,False,True,True,False,
Educación,2018,12,8517,3213,False,True,True,False,
Educación,2019,5,4366,2191,False,False,True,False,
Educación,2020,7,6338,2760,False,True,True,False,
Educación,2021,7,6095,2662,False,True,True,False,
